invoiceKey,invoiceNumber,organization,orgMatch,issueDate,currency,milestone,amountEur,amountRon,tier,confidence,proposedPartNumber,proposedContractRef,amountMatchedOn,trackerYear,issuer,trackerDescription,invoiceServiceText,candidateCount,reason,topCandidates,lineProposals
accounting:BT.BIT 41,BT.BIT 41,ZIPPER SERVICES SRL,exact,2018-03-07,RON,,6500,36042.01,DETERMINISTIC,HIGH,RED-PEN-S-WB-1,NR.109 DIN 07.12.2017,,2017,BSS,pentest aplicatie si cod review,"SERVICII CONFORM CONTRACT NR.109 DIN 07.12.2017 SERVICII CONFORM CONTRACT NR.109 DIN 07.12.2017 6500 euro la cursul BNR de 4,6596 lei din 06.03.2018",1,org exact; unique part# via contract 109,"[{""pn"":""RED-PEN-S-WB-1"",""score"":100,""on"":[""contract#""],""ref"":""NR.109 DIN 07.12.2017"",""desc"":""pentest aplicatie si cod review""}]",
accounting:BT.BIT 42,BT.BIT 42,ZIPPER SERVICES SRL,exact,2018-03-22,RON,,6500,36090.74,DETERMINISTIC,HIGH,RED-PEN-S-WB-1,NR.109 DIN 07.12.2017,,2017,BSS,pentest aplicatie si cod review,"SERVICII CONFORM CONTRACT NR.109 DIN 07.12.2017 SERVICII CONFORM CONTRACT NR.109 DIN 07.12.2017 6500 euro la cursul BNR de 4,6659 lei din 22.03.2018",1,org exact; unique part# via contract 109,"[{""pn"":""RED-PEN-S-WB-1"",""score"":100,""on"":[""contract#""],""ref"":""NR.109 DIN 07.12.2017"",""desc"":""pentest aplicatie si cod review""}]",
accounting:BT.BIT 43,BT.BIT 43,ONLINE VENUES & EVENTS SRL,exact,2018-03-28,RON,,1500,8310.42,DETERMINISTIC,HIGH,RED-PEN-S-B-1,119/15.03.2018,,2018,BSS,pentest app,"SERVICII CONFORM CONTRACT NR.119 DIN 15.03.2018 SERVICII CONFORM CONTRACT NR.119 DIN 15.03.2018 1500 euro la cursul BNR de 4,6557 lei din 28.03.2018",1,org exact; unique part# via contract 119,"[{""pn"":""RED-PEN-S-B-1"",""score"":100,""on"":[""contract#""],""ref"":""119/15.03.2018"",""desc"":""pentest app""}]",
accounting:BT.BIT 44,BT.BIT 44,MEDIADAV SOLUTIONS SRL-D,none,2018-03-29,RON,avans,15000,83125.67,UNRESOLVED,NONE,,,,,,,"AVANS SERVICII CONSULTANTA CONFORM CONTRACT 118/13.03.2018 AVANS SERVICII CONSULTANTA CONFORM CONTRACT 118/13.03.2018 15000 euro+TVA la cursul BNR de 4,6569 lei",0,org not found in tracker,[],
accounting:BT.BIT 45,BT.BIT 45,ZIPPER SERVICES SRL,exact,2018-03-29,RON,storno,6500,-30328.35,SCORED,MEDIUM,RED-PEN-S-WB-1,NR. 1 DIN 16.02.2018,final,2018,BSS,pentest aplicatie si cod review,"STORNARE FACTURA 42/22.03.2018(SERVICII CONFORM CONTRACT NR. STORNARE FACTURA 42/22.03.2018(SERVICII CONFORM CONTRACT NR. 6500 euro la cursul BNR de 4,6659 lei ",11,"org exact; score=45 margin=30 on [amount~final, data final (22d)]; 1 distinct part# near top; storno","[{""pn"":""RED-PEN-S-WB-1"",""score"":45,""on"":[""amount~final"",""data final (22d)""],""ref"":""NR. 1 DIN 16.02.2018"",""desc"":""pentest aplicatie si cod review""},{""pn"":""RED-GDPR-10"",""score"":15,""on"":[""data avans (6d)""],""ref"":""120 DIN 22.03.2018"",""desc"":""bbraun gdpr""},{""pn"":""RED-NIS-C-PEN-10"",""score"":13,""on"":[""amount~total""],""ref"":""NR. 318/25.11.2024"",""desc"":""servicii de pentest nis""}]",
accounting:BT.BIT 46,BT.BIT 46,ZIPPER SERVICES SRL,exact,2018-04-04,RON,avans,1200,6654.19,SCORED,MEDIUM,RED-GDPR-10,120 DIN 22.03.2018,avans,2018,BSS,bbraun gdpr,"AVANS 25% CONFORM CONTRACT 120 DIN 22.03.2018 AVANS 25% CONFORM CONTRACT 120 DIN 22.03.2018 1200 euro + TVA la cursul de 4,6598 lei din 04.04.2018",10,"org exact; score=51 margin=29 on [amount~avans, data avans (0d)]; 1 distinct part# near top; avans","[{""pn"":""RED-GDPR-10"",""score"":51,""on"":[""amount~avans"",""data avans (0d)""],""ref"":""120 DIN 22.03.2018"",""desc"":""bbraun gdpr""},{""pn"":""PHISH-P-L-MM-S-200-12"",""score"":22,""on"":[""amount~final""],""ref"":""Nr. 200/01.09.2021"",""desc"":""phish enterprise trimestrial""},{""pn"":""RED-GDPR-5"",""score"":21,""on"":[""amount~avans"",""data avans (330d)""],""ref"":""NR.142/18.02.2019"",""desc"":""romfilatelia gdpr""}]",
accounting:BT.BIT 48,BT.BIT 48,NETOPIA SRL,none,2018-04-24,RON,,2500,13852.49,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.115 DIN 20.02.2018 SERVICII CONFORM CONTRACT NR.115 DIN 20.02.2018 2500 euro+TVA la cursul BNR de 4,6563 lei din 23.04.2018",0,org not found in tracker,[],
accounting:BT.BIT 49,BT.BIT 49,GHICA TATIANA-CRISTINA - CABINET INDIVIDUAL DE AVOCAT,none,2018-05-02,RON,avans,1120,6214.85,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.122 DIN 24.04.2018 SERVICII CONFORM CONTRACT NR.122 DIN 24.04.2018 1120 euro+TVA la cursul BNR de 4,6630 lei din 02.05.2018(avans 7",0,org not found in tracker,[],
accounting:BT.BIT 50,BT.BIT 50,CREATIVE MEDIA DEVELOPMENT SRL,none,2018-05-23,RON,,5500,30254.26,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM CONTRACT NR.112 DIN 29.01.2018 SERVICII CONFORM CONTRACT NR.112 DIN 29.01.2018 Act aditional nr. 1 din 22.05.2018 (5500 euro+TVA la cursul BNR ,0,org not found in tracker,[],
accounting:BT.BIT 51,BT.BIT 51,CREATIVE MEDIA DEVELOPMENT SRL,none,2018-05-23,RON,,650,3575.5,UNRESOLVED,NONE,,,,,,,Servicii conform anexa 2 la contract nr.112/09.01.2018 Servicii conform anexa 2 la contract nr.112/09.01.2018 Act aditional nr. 1 din 22.05.2018(650 euro+TVA la,0,org not found in tracker,[],
accounting:BT.BIT 52,BT.BIT 52,ZIPPER SERVICES SRL,exact,2018-05-28,RON,avans,800,4406.62,SCORED,MEDIUM,RED-GDPR-3,NR.44 DIN 04.05.2018,avans,2018,BSS,bilete.ro gdpr,"AVANS 50 % CONFORM CONTRACT NR.ZS44 DIN 04.05.2018 AVANS 50 % CONFORM CONTRACT NR.ZS44 DIN 04.05.2018 800 euro +TVA la cursul BNR de 4,6288 lei din 25.05.2018",9,"org exact; score=51 margin=36 on [amount~avans, data avans (0d)]; 1 distinct part# near top; avans","[{""pn"":""RED-GDPR-3"",""score"":51,""on"":[""amount~avans"",""data avans (0d)""],""ref"":""NR.44 DIN 04.05.2018"",""desc"":""bilete.ro gdpr""},{""pn"":""RED-GDPR-10"",""score"":15,""on"":[""data final (25d)""],""ref"":""120 DIN 22.03.2018"",""desc"":""bbraun gdpr""},{""pn"":""RED-PEN-S-WB-1"",""score"":8,""on"":[""data final (82d)""],""ref"":""NR. 1 DIN 16.02.2018"",""desc"":""pentest aplicatie si cod review""}]",
accounting:BT.BIT 53,BT.BIT 53,MEDIADAV SOLUTIONS SRL-D,none,2018-06-04,RON,,10000,55413.54,UNRESOLVED,NONE,,,,,,,"SERVICII CONFORM CONTRACT NR.113 DIN 13.03.2018 SERVICII CONFORM CONTRACT NR.113 DIN 13.03.2018 10000 euro +TVA la cursul BNR de 4,6566 lei din 04.06.2018",0,org not found in tracker,[],
accounting:BT.BIT 54,BT.BIT 54,ONLINE VENUES & EVENTS SRL,exact,2018-06-04,RON,,1000,5541.35,DETERMINISTIC,HIGH,RED-PEN-S-B-1,119/15.03.2018,,2018,BSS,pentest app,"SERVICII CONFORM CONTRACT NR.119 DIN 15.03.2018 SERVICII CONFORM CONTRACT NR.119 DIN 15.03.2018 1000 euro+TVA la cursul BNR de 4,6566 lei din 04.06.2018",1,org exact; unique part# via contract 119,"[{""pn"":""RED-PEN-S-B-1"",""score"":100,""on"":[""contract#""],""ref"":""119/15.03.2018"",""desc"":""pentest app""}]",
accounting:BT.BIT 55,BT.BIT 55,ZIPPER SERVICES SRL,exact,2018-06-05,RON,,,1094.8,SCORED,LOW,RED-GDPR-10,120 DIN 22.03.2018,,2018,BSS,bbraun gdpr,Decontare servicii cazare si transport Decontare servicii cazare si transport 920 lei+TVA conform act aditional nr.1 din 16.04.2018 la contractul nr.120 din 22.,11,org exact; score=15 margin=0 on [data final (17d)]; 3 distinct part# near top,"[{""pn"":""RED-GDPR-10"",""score"":15,""on"":[""data final (17d)""],""ref"":""120 DIN 22.03.2018"",""desc"":""bbraun gdpr""},{""pn"":""RED-GDPR-3"",""score"":15,""on"":[""data avans (8d)""],""ref"":""NR.44 DIN 04.05.2018"",""desc"":""bilete.ro gdpr""},{""pn"":""RED-PEN-S-WB-1"",""score"":8,""on"":[""data final (90d)""],""ref"":""NR. 1 DIN 16.02.2018"",""desc"":""pentest aplicatie si cod review""}]",
accounting:BT.BIT 56,BT.BIT 56,ORANGE ROMANIA SA,exact,2018-06-07,RON,,15500,85793.23,SCORED,MEDIUM,ORO-TEM-DEV-100,PO 40342292,final,2018,BSS,dezv,Adaugare/imbunatatire functionalitati si modificari necesare Adaugare/imbunatatire functionalitati si modificari necesare GDPR pentru platforma BIS Threat Map N,14,"org exact; score=38 margin=16 on [amount~final, data final (61d)]; 1 distinct part# near top","[{""pn"":""ORO-TEM-DEV-100"",""score"":38,""on"":[""amount~final"",""data final (61d)""],""ref"":""PO 40342292"",""desc"":""dezv""},{""pn"":""PHISH-P-L-YY-A-15000"",""score"":22,""on"":[""amount~final""],""ref"":"""",""desc"":""licenta anuala phish""},{""pn"":""CYBEREDU-UNR"",""score"":22,""on"":[""amount~avans""],""ref"":""40469783"",""desc"":""parteneriat unr 2022""}]",
accounting:BT.BIT 57,BT.BIT 57,EDWARD NEUK COMPANY SRL,none,2018-06-18,RON,,11600,64412.22,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM CONTRACT NR.102 DIN 22..02.20168 SERVICII CONFORM CONTRACT NR.102 DIN 22..02.20168 Anexa 7-Servicii de audit securitate informatica site in cad,0,org not found in tracker,[],
accounting:BT.BIT 58,BT.BIT 58,OTTER-DISTRIBUTION SRL,none,2018-06-18,RON,avans,1800,19990,UNRESOLVED,NONE,,,,,,,"Avans 40% conform Anexa 1 din Ctr 123/25.04.2018 Avans 40% conform Anexa 1 din Ctr 123/25.04.2018 1800 euro +TVA la cursul BNR de 4,6662 lei din 18.06.2018 | Av",0,org not found in tracker,[],
